id,fiscal_id,insert_date,cheque_date,store_name,buy_amount,cash_amount,cashless_amount,vat_amount,refund_amount,state,channel_type,cheque_status_message,with_card,card_cashback_amount
1968779791,2rndzUUCy24q,2025-09-10T06:07:15Z,2025-09-10T06:06:52Z,ARAZ MARKET,9.69,0.00,9.69,1.48,0.26,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1968177413,8hYdFriRsWUy,2025-09-09T17:47:28Z,2025-09-09T17:36:44Z,AXUNDOV BRAVO,5.62,0.00,5.62,0.74,0.13,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1967180266,5hpnBw15zE2X,2025-09-08T20:10:13Z,2025-09-08T19:55:45Z,AXUNDOV BRAVO,14.37,0.00,14.37,1.72,0.30,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1966427853,CVjxFhr4kNpV,2025-09-08T06:12:14Z,2025-09-08T06:10:48Z,ARAZ MARKET,8.70,0.00,8.70,1.33,0.23,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1966140447,HB5doKL6N6uX,2025-09-07T21:43:20Z,2025-09-07T21:11:10Z,AXUNDOV BRAVO,3.03,0.00,3.03,0.31,0.05,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1964098379,HHhAheRUkK1x,2025-09-06T10:33:40Z,2025-09-05T20:20:27Z,AXUNDOV BRAVO,7.82,0.00,0.67,0.72,0.01,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1962785173,6Fxa4TW1edzr,2025-09-05T06:22:03Z,2025-09-05T06:21:38Z,ARAZ MARKET,11.00,0.00,11.00,1.68,0.29,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1961242813,Hw2cRrhNM47u,2025-09-03T21:13:23Z,2025-09-03T21:04:04Z,AXUNDOV BRAVO,12.33,0.00,12.33,1.76,0.31,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1959800284,FcME2buLsjZT,2025-09-02T17:39:30Z,2025-09-02T17:38:55Z,AXUNDOV BRAVO,16.32,0.00,16.32,2.02,0.35,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1959227834,ETtjajyu1cuk,2025-09-02T06:11:20Z,2025-09-02T06:10:47Z,ARAZ MARKET,11.99,0.00,11.99,1.83,0.32,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1958617621,JCswX4qhyJvB,2025-09-01T17:54:30Z,2025-09-01T17:41:41Z,AXUNDOV BRAVO,7.32,0.00,7.32,1.00,0.18,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1958033350,5HFiTQXmUA8X,2025-09-01T06:19:22Z,2025-09-01T06:18:38Z,ARAZ MARKET,5.00,0.00,5.00,0.76,0.13,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1957676352,GJGYYt85L3dA,2025-08-31T20:53:05Z,2025-08-31T20:45:32Z,AXUNDOV BRAVO,5.02,0.00,5.02,0.60,0.11,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1956641998,eYGWHjR5AXU3,2025-08-30T23:02:05Z,2025-08-30T22:52:55Z,AXUNDOV BRAVO,14.84,0.00,14.84,1.90,0.33,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1955561393,CoEeQR39nSda,2025-08-30T00:44:03Z,2025-08-30T00:03:53Z,AXUNDOV BRAVO,11.97,0.00,11.97,1.66,0.29,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1954086364,DBfJraQy1aSS,2025-08-28T20:50:15Z,2025-08-28T20:46:25Z,ARAZ MARKET,6.24,0.00,6.24,0.85,0.15,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
1953147857,8bSkqWghw8zj,2025-08-27T23:47:25Z,2025-08-27T23:44:02Z,ARAZ MARKET,8.64,0.00,8.64,0.75,0.13,COMPLETED,BIRBANK,ƏDV uğurla geri qaytarılıb.,WITHOUT_EDV_CARD,0.00
